GEOID,white,black,asian,hispanic,white_inflow,black_inflow,hispanic_inflow,asian_inflow,Under $50K,$50K - $100K,$100K - $200K,Over $200K,Under $50K_inflow,$50K - $100K_inflow,$100K - $200K_inflow,Over $200K_inflow,Food,Shopping,Work,Health,Religious,Service,Entertainment,Grocery,Education,Arts/Museum,Transportation,Sports,LATITUDE,LONGITUDE,total_population
250250604004,0.825,0.04875,0.04375,0.0825,0.6333875264485288,0.1607727613685039,0.1326270459199261,0.073212666263041,0.2144469525959368,0.1896162528216704,0.3227990970654628,0.27313769751693,0.3907357413281631,0.1686680455085613,0.2845335427031605,0.1560626704601149,11.54103263085368,11.54103263085368,0.0,0.0,0.0,23.08206526170736,11.54103263085368,0.0,0.0,0.0,0.0,0.0,42.3312763,-71.0451821,1188
250250604005,0.8240534521158129,0.0267260579064587,0.133630289532294,0.0155902004454342,0.5991208489322487,0.1819093636390531,0.1417052555579405,0.0772645318707576,0.1422018348623853,0.1788990825688073,0.463302752293578,0.2155963302752293,0.3802880784513963,0.1735782653389768,0.3081265039890111,0.1380071522206157,34.458099322242475,11.486033107414158,0.0,11.486033107414158,22.97206621482832,45.94413242965664,0.0,11.486033107414158,11.486033107414158,22.97206621482832,0.0,0.0,42.3337719,-71.0457428,1571
250250605011,0.9372693726937268,0.0,0.0,0.062730627306273,0.7843124145269105,0.077699829773278,0.0837497089497523,0.0542380467500591,0.2710526315789474,0.131578947368421,0.3973684210526316,0.2,0.2831138924481619,0.1786963364831238,0.3447523200811047,0.1934374509876094,89.53432667276901,0.0,0.0,12.790618096109858,0.0,12.790618096109858,12.790618096109858,0.0,0.0,0.0,12.790618096109858,0.0,42.3367113,-71.0356236,892
250250605012,0.9023494860499266,0.0146842878120411,0.0572687224669603,0.0154185022026431,0.767321170309688,0.0849898080286372,0.0927377975904061,0.0549512240712685,0.0457875457875457,0.2582417582417582,0.456043956043956,0.2399267399267399,0.2663842770962531,0.1801665479667211,0.3563293609186613,0.1971198140183643,62.713458829262905,0.0,0.0,0.0,15.678364707315726,62.713458829262905,31.35672941463145,31.35672941463145,0.0,0.0,0.0,0.0,42.336399,-71.0395143,1086
250250605013,0.8213399503722084,0.0,0.0124069478908188,0.1240694789081885,0.6397959343501545,0.1245666534681663,0.1587583858754531,0.0768790263062258,0.0488888888888888,0.1866666666666666,0.3488888888888889,0.4155555555555555,0.3407385350753708,0.1820437150878833,0.300879731851087,0.1763380179856589,11.752640306709765,23.50528061341953,11.752640306709765,0.0,0.0,82.26848214696834,23.50528061341953,0.0,0.0,0.0,0.0,0.0,42.3369024,-71.0417058,2104
250250605014,0.9612141652613828,0.0387858347386172,0.0,0.0,0.7406697044062762,0.1089039492166292,0.1020187462815314,0.0484076000955631,0.2838283828382838,0.2178217821782178,0.1716171617161716,0.3267326732673267,0.3072943168640388,0.1758452401357087,0.3210239959218744,0.1958364470783778,9.07825778952644,9.07825778952644,0.0,9.07825778952644,0.0,9.07825778952644,36.313031158105765,0.0,9.07825778952644,9.07825778952644,0.0,0.0,42.337063,-71.0317713,1824
250250605015,0.7096296296296296,0.0,0.2903703703703704,0.0,0.6592849304766963,0.1381746936912335,0.1296235257891159,0.072916850042954,0.1611111111111111,0.1444444444444444,0.4305555555555556,0.2638888888888889,0.3353699132667018,0.1709812327468582,0.3163553973417774,0.1772934566446624,40.247251590893406,13.4157505302978,13.4157505302978,0.0,0.0,53.663002121191205,13.4157505302978,0.0,0.0,0.0,0.0,0.0,42.337109,-71.0453496,1293
250250607001,0.1227758007117437,0.4466192170818505,0.0480427046263345,0.3567615658362989,0.2622327602382855,0.3903704856946033,0.2972351474180106,0.0501616066491004,0.7533512064343163,0.2305630026809651,0.0107238605898123,0.0053619302949061,0.6319787608834444,0.1418992536706261,0.170584505823667,0.0555374796222622,0.0,0.0,0.0,0.0,11.234711297729344,22.46942259545869,0.0,0.0,11.234711297729344,0.0,0.0,0.0,42.338959,-71.0535654,3688
250250607002,0.099092812281926,0.2254012561060711,0.0886252616887648,0.520586182833217,0.2446908407917959,0.3601672900542312,0.3291116997664736,0.0660301693874991,0.9697508896797152,0.0142348754448398,0.0160142348754448,0.0,0.6619381734587071,0.1510746469333333,0.1340252107501079,0.0529619688578516,0.0,25.49941100763459,0.0,0.0,0.0,0.0,25.49941100763459,0.0,0.0,0.0,0.0,0.0,42.3375293,-71.0546728,1464
250250608001,1.0,0.0,0.0,0.0,0.6338620523635801,0.1372037878842102,0.152315240489448,0.0766189192627617,0.0058823529411764,0.25,0.7441176470588236,0.0,0.3732806137898719,0.1682798638401331,0.3082412385005724,0.1501982838694226,107.16740488523992,30.61925853863998,15.30962926931999,15.30962926931999,0.0,61.23851707727996,0.0,15.30962926931999,0.0,0.0,0.0,0.0,42.3351348,-71.0483041,1511
